,Agricultural Landuse,Agricultural Landuse,Agricultural Landuse,Agricultural Landuse,Agricultural Landuse,Agricultural Landuse,Agricultural Landuse,Agricultural Landuse,Agricultural Landuse,Agricultural Landuse,Agricultural Landuse,Agricultural Landuse,Agricultural Landuse,Agricultural Landuse,Agricultural Landuse,Agricultural Landuse,Agricultural Landuse,Agricultural Landuse,Agricultural Landuse,Agricultural Landuse,Agricultural Landuse,Agricultural Landuse,Agricultural Landuse,Agricultural Landuse,Agricultural Landuse,Agricultural Landuse,Agricultural Landuse,Agricultural Landuse,Agricultural Landuse,Agricultural Landuse,Agricultural Landuse,Agricultural Landuse,Agricultural Landuse,Agricultural Landuse,Agricultural Landuse,Agricultural Landuse,Agricultural Landuse,Agricultural Landuse,SUM
,dry,dry,dry,dry,dry,dry,dry,dry,dry,dry,dry,dry,dry,dry,dry,dry,dry,dry,dry,irr,irr,irr,irr,irr,irr,irr,irr,irr,irr,irr,irr,irr,irr,irr,irr,irr,irr,irr,
,TCO2E_CHEM_APPL,TCO2E_CROP_MGT,TCO2E_CULTIV,TCO2E_FERT_PROD,TCO2E_HARVEST,TCO2E_IRRIG,TCO2E_PEST_PROD,TCO2E_SOIL_N_SURP,TCO2E_SOWING,TCO2E_DRN_WATER,TCO2E_DUNG_URINE,TCO2E_ELEC,TCO2E_ENTERIC,TCO2E_FODDER,TCO2E_FUEL,TCO2E_IND_LEACH_RUNOFF,TCO2E_IRR_WATER,TCO2E_MANURE_MGT,TCO2E_SEED,TCO2E_CHEM_APPL,TCO2E_CROP_MGT,TCO2E_CULTIV,TCO2E_FERT_PROD,TCO2E_HARVEST,TCO2E_IRRIG,TCO2E_PEST_PROD,TCO2E_SOIL_N_SURP,TCO2E_SOWING,TCO2E_DRN_WATER,TCO2E_DUNG_URINE,TCO2E_ELEC,TCO2E_ENTERIC,TCO2E_FODDER,TCO2E_FUEL,TCO2E_IND_LEACH_RUNOFF,TCO2E_IRR_WATER,TCO2E_MANURE_MGT,TCO2E_SEED,
Apples,163.580463886261,36.321242332458496,146.83176600933075,762.0579519271851,52.61022436618805,0.0,173.5235719680786,111.23029136657715,23.38860058784485,2.250660039484501,127.20946162939072,0.0,1378.042784690857,16.40888125449419,360.3050289154053,61.6310151219368,243.8103334903717,0.7646210686070845,7.827416133135557,875.0821904540062,247.5816328478977,681.2795562744141,2607.35453414917,325.04844719171524,590.6187703609467,820.1791657209396,1148.45443546772,20.647773325443268,3.7703262120485306,69.10754036903381,15.843811124563217,733.0630435943604,28.501860350370407,180.56764589995146,80.42240858078003,177.1076898574829,11.433096699882299,3.3002885431051254,12287.158531811438
Beef - modified land,52474.980985173024,2599.613309193576,70353.56939758068,698143.9867096067,21975.480452600485,0.0,148379.7959621684,22137.324361533654,22756.25039991073,10717.748200228936,263138.4016506473,1572.3724780082703,3228096.044740921,58889.564780525776,520249.9717023037,125803.18171955533,1266736.604826078,2293.5549988884327,160740.53129402566,9206.615477848209,1663.9808164448025,28446.23816602256,179544.31971665888,1193.4644469964785,22541.966820178735,21039.63413464041,12037.290604425934,2225.9942184421034,557.2742616878244,9083.491994050626,6838.843557394317,95722.6309633425,6577.695638655084,26938.791921318454,9855.83928900994,28836.066595296274,4042.64192694726,2942.4679895766703,7146354.226507883
Beef - natural land,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8038.879376920942,107310.02158853557,37.19524908065796,1840249.2365492377,22849.93629019874,48020.88437571253,58515.475314799194,816644.8782814556,1255.8747188541404,299518.66264862637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3202441.044393422
Citrus,1814.369463443756,910.2305283546448,2.1041135787963867,13705.75660610199,1.0831581354141235,0.0,7973.787067651749,6526.943934440613,15.235994100570679,0.5898525379598141,21.956053137779236,0.0,231.54885292053223,5.007607653737068,37.29283744096756,10.560235559940338,79.02145600318909,0.09258127957582474,0.8262498453259468,726.7576176524162,355.884684340097,51.074607849121094,5373.1342697143555,2.2506675720214844,971.2178761959076,2927.510668158531,2411.2162017822266,4.736269652843475,0.6150479316711426,10.704612731933594,0.0,113.73426055908203,3.949631690979004,31.504749298095703,14.604917049407959,40.307064056396484,0.019362863153219223,0.687879353761673,44376.31698063854
Cotton,42612.934719622135,26.43649435043335,36928.04645186663,172718.51661872864,58944.844128370285,0.0,90067.53281593323,149.41612148284912,7315.337489306927,0.0609157532453537,5.446937561035156,0.0,48.59371566772461,0.15622305870056152,6.370190143585205,2.5753872394561768,7.238934516906738,0.01044425368309021,7.142885208129883,12332.912597239017,14.020317316055298,10476.639854431152,51036.23692321777,9640.485719919205,6596.731370091438,28814.84910583496,316.57262802124023,859.2539173960686,27.89403049647808,404.8041088581085,703.0736689567566,3712.9012203216553,516.2084465026855,303.43960213661194,533.5084958076477,168.25176668167114,300.048636674881,660.3137645721436,536258.8066475391
Dairy - modified land,899.8660245537758,175.71911001205444,1256.3239578008652,8328.87831401825,279.14488875865936,0.0,1889.2650408744812,1418.0098905563354,207.4248452782631,2673.8287111979676,51382.34733796456,20905.788166354225,527165.2970132111,40687.142124631304,116396.5899950192,50046.44295489217,213024.51902964522,17113.792212940913,15081.001167520806,2835.6829642653465,183.08728583622724,34932.96643590927,203932.86700248718,158.04936170578003,25318.246344804764,25846.60965180397,2027.803407073021,2118.647897362709,866.8372173520335,12056.187830475961,7563.119403551348,116795.27350894987,12609.275701194969,16663.085377341886,14847.937408396567,45198.47514797608,6352.211157864421,3858.8290313657126,1603096.572920947
Dairy - natural land,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.290024864953,1848.2020902484655,2508.1739122387953,18847.10886824131,2565.977528065443,5740.214533096179,2393.386087015271,9103.191596090794,1767.2005867399275,620.5902699157596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45531.3354965169
Grapes,16247.52012717409,6710.0919364817955,6939.48675006925,54427.00867060221,1051.7284519555076,0.0,26578.200594761034,17909.788523660478,92.493468105793,9.845064980909228,273.4173181653023,0.0,3146.712978363037,67.14288307726383,920.1027112007141,144.82881569862366,1525.0103831291199,0.7200033204862848,26.45431900024414,6056.5438085313035,4942.177115945416,7197.828082994418,48381.9852472347,1067.5366872873146,8148.776525630583,9565.297776553858,15686.699716727715,11.15133672952652,3.8911175057291985,62.72414195537567,16.87201738357544,693.2603597640991,23.840630769729614,224.69394266605377,45.0809850692749,272.00108098983765,7.621438601054251,2.691953055560589,238481.226965141
Hay,10078.217463879542,358.01865911396675,110377.44126243448,339985.31192792056,573.1061207163625,0.0,86993.4515713201,5808.9257594997725,7898.567668735981,789.1584088859107,40126.438784548314,403.9547983855009,456316.5024090587,7407.644126841558,145748.6503993922,19733.668326249754,84936.95739984,497.51920912869747,10201.949057683554,1913.1650206537597,286.2409801110225,11815.26287430935,75795.82409902808,438.2308542886035,8988.283131707545,9035.572268436797,1665.5829994897667,895.303949897603,234.88491041958332,3939.071076273918,1342.3080661296844,41469.90909385681,2047.15777862072,11320.414745502174,4568.357038497925,11789.616676837206,848.992470214609,645.0347094349563,1517274.6960973456
Nuts,5091.213979005814,1392.8353157043457,3435.821661233902,7804.323091030121,1643.6961423158646,0.0,7244.149162769318,6578.901894569397,288.3986769914627,3.8769003339111805,241.85274934768677,0.0,2767.1018590927124,89.11167670786381,603.3579359054565,113.54837244749069,702.5260655879974,0.7373786859679967,175.46238545514643,1522.222011566162,465.7312808036804,1409.8532390594482,3384.327325820923,603.4213099479675,896.214019022882,2533.399977684021,2588.7892370224,82.66240608692169,1.2178234532475471,17.673312783241272,30.695441484451294,162.10128021240234,22.537107467651367,13.247847557067871,23.29240918159485,3.9091194570064545,13.099801421165466,28.828590393066406,51980.13878760976
Other non-cereal crops,2646.599398833382,996.7529002270217,2309.4453168582877,11993.224810056992,699.1862895517727,0.0,4448.382216194419,715.4110915060169,1473.7412485740347,23.436395670951697,1426.3266484697267,0.28373444080352783,15778.627048186227,297.35055440144157,4321.873751372496,681.5576201769395,2832.3946923109943,7.7789880669925715,527.310809808308,856.2608333230019,305.3409707453102,2031.47132396698,16738.050899505615,221.42210817337036,1825.2942129671574,1676.480676293373,1077.6218967437744,296.12936359643936,6.82982461899519,106.04012191295624,106.96596594154835,1076.7304239273071,93.94830119609833,266.8145949319005,136.43552935123444,367.9938279390335,51.27788550872356,68.59803569689393,78489.39031104653
