,Apples (dry),Apples (irr),Beef - modified land (dry),Beef - modified land (irr),Beef - natural land (dry),Citrus (dry),Citrus (irr),Cotton (dry),Cotton (irr),Dairy - modified land (dry),Dairy - modified land (irr),Dairy - natural land (dry),Grapes (dry),Grapes (irr),Hay (dry),Hay (irr),Nuts (dry),Nuts (irr),Other non-cereal crops (dry),Other non-cereal crops (irr),Pears (irr),Plantation fruit (dry),Plantation fruit (irr),Rice (irr),Sheep - modified land (dry),Sheep - modified land (irr),Sheep - natural land (dry),Stone fruit (dry),Stone fruit (irr),Sugar (dry),Sugar (irr),Summer cereals (dry),Summer cereals (irr),Summer legumes (dry),Summer legumes (irr),Summer oilseeds (dry),Summer oilseeds (irr),Tropical stone fruit (dry),Tropical stone fruit (irr),Unallocated - modified land (dry),Unallocated - natural land (dry),Vegetables (dry),Vegetables (irr),Winter cereals (dry),Winter cereals (irr),Winter legumes (dry),Winter legumes (irr),Winter oilseeds (dry),Winter oilseeds (irr),All
Apples (dry),6,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,17
Apples (irr),0,32,7,10,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,2,2,0,3,0,0,0,100
Beef - modified land (dry),0,31,231049,335,0,0,0,148,1,207,880,0,2,0,2122,84,114,5,0,109,0,49,41,30,11335,0,0,5,0,551,0,1312,0,0,78,91,0,0,0,7404,0,0,164,3353,60,578,0,1851,0,322659
Beef - modified land (irr),0,0,296,605,0,17,0,6,0,0,135,0,105,0,25,9,0,0,1,44,1,0,0,0,335,0,0,0,0,0,0,7,0,0,0,0,0,0,0,10,0,0,67,13,48,1,0,0,0,1764
Beef - natural land (dry),0,0,0,0,566892,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,75698,0,0,0,0,0,0,0,0,642609
Citrus (dry),0,0,0,0,0,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
Citrus (irr),0,0,5,2,0,118,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,1,0,4,0,0,0,246
Cotton (dry),0,0,0,0,0,0,0,2140,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,2228
Cotton (irr),0,0,0,0,0,0,0,2567,573,0,130,0,1,0,53,0,0,0,7,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,6,0,0,0,0,0,3470
Dairy - modified land (dry),0,0,309,164,0,0,0,0,0,15629,549,0,0,0,33,10,26,0,0,15,0,0,3,24,1416,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,0,0,5,4,7,0,0,1,0,21490
