,Apples (None),Apples (Precision Agriculture),Beef - modified land (None),Beef - natural land (None),Citrus (None),Citrus (Precision Agriculture),Cotton (None),Cotton (Precision Agriculture),Dairy - modified land (None),Dairy - natural land (None),Grapes (None),Grapes (Precision Agriculture),Hay (None),Hay (Precision Agriculture),Nuts (None),Nuts (Precision Agriculture),Other non-cereal crops (None),Other non-cereal crops (Precision Agriculture),Pears (None),Pears (Precision Agriculture),Plantation fruit (None),Plantation fruit (Precision Agriculture),Rice (None),Rice (Precision Agriculture),Sheep - modified land (None),Sheep - natural land (None),Stone fruit (None),Stone fruit (Precision Agriculture),Sugar (None),Sugar (Precision Agriculture),Summer cereals (None),Summer cereals (Precision Agriculture),Summer legumes (None),Summer legumes (Precision Agriculture),Summer oilseeds (None),Summer oilseeds (Precision Agriculture),Tropical stone fruit (None),Tropical stone fruit (Precision Agriculture),Unallocated - modified land (None),Unallocated - natural land (None),Vegetables (None),Vegetables (Precision Agriculture),Winter cereals (None),Winter cereals (Precision Agriculture),Winter legumes (None),Winter legumes (Precision Agriculture),Winter oilseeds (None),Winter oilseeds (Precision Agriculture),All
Apples (None),40,0,17,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,1,0,0,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0,4,1,10,0,3,0,0,2,3,0,0,1,117
Apples (Precision Agriculture),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beef - modified land (None),16,15,232285,0,13,4,0,155,1222,0,106,1,0,2240,46,73,101,53,0,1,68,22,30,0,11670,0,5,0,0,551,0,1319,0,78,0,91,0,0,7414,0,107,124,0,3474,0,579,0,1851,324423
Beef - natural land (None),0,0,0,566892,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,75698,0,0,0,0,0,0,0,0,642609
Citrus (None),0,0,7,0,140,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,1,0,4,0,0,274
Citrus (Precision Agriculture),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cotton (None),0,0,0,0,0,0,3635,1694,130,0,1,0,0,53,0,0,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,6,0,0,0,0,5698
Cotton (Precision Agriculture),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dairy - modified land (None),1,1,528,0,0,0,0,0,19679,0,0,0,0,54,0,29,1,27,0,0,3,3,30,3,1787,0,0,0,0,0,0,3,0,0,0,0,1,0,38,0,12,5,0,62,0,4,0,19,25966
Dairy - natural land (None),0,0,0,3,0,0,0,0,0,1640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1645
