,Cells prior [ # ],Cells after [ # ],Switches [ # ],Switches [ % ]
Apples (Precision Agriculture),0,20,20,inf
Citrus (Precision Agriculture),0,71,71,inf
Cotton (Precision Agriculture),0,3098,3098,inf
Grapes (Precision Agriculture),0,500,500,inf
Hay (Precision Agriculture),0,4796,4796,inf
Nuts (Precision Agriculture),0,116,116,inf
Other non-cereal crops (Precision Agriculture),0,655,655,inf
Pears (Precision Agriculture),0,3,3,inf
Plantation fruit (Precision Agriculture),0,37,37,inf
Rice (Precision Agriculture),0,298,298,inf
Stone fruit (Precision Agriculture),0,83,83,inf
Sugar (Precision Agriculture),0,2319,2319,inf
Summer cereals (Precision Agriculture),0,3053,3053,inf
Summer legumes (Precision Agriculture),0,155,155,inf
Summer oilseeds (Precision Agriculture),0,128,128,inf
Tropical stone fruit (Precision Agriculture),0,17,17,inf
Vegetables (Precision Agriculture),0,431,431,inf
Winter cereals (Precision Agriculture),0,72198,72198,inf
Winter legumes (Precision Agriculture),0,4781,4781,inf
Winter oilseeds (Precision Agriculture),0,7794,7794,inf
Total,0,100553,100553,2.0
